=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:55:50 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:59:11          74.75                 6.90               4               0.64
2021/3/11 (Thursday) 5:59:12          74.86                 6.89               10               0.57
2021/3/11 (Thursday) 5:59:13          74.86                 6.90               6               0.65
2021/3/11 (Thursday) 5:59:14          74.86                 6.92               12               0.59
2021/3/11 (Thursday) 5:59:15          74.75                 6.92               4               0.59
2021/3/11 (Thursday) 5:59:16          74.86                 6.89               8               0.65
2021/3/11 (Thursday) 5:59:17          74.86                 6.92               6               0.59
2021/3/11 (Thursday) 5:59:18          74.86                 6.92               4               0.64
2021/3/11 (Thursday) 5:59:19          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 5:59:20          74.86                 6.92               6               0.65
2021/3/11 (Thursday) 5:59:21          74.75                 6.90               12               0.59
2021/3/11 (Thursday) 5:59:22          74.75                 6.94               4               0.65
2021/3/11 (Thursday) 5:59:23          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 5:59:24          74.86                 6.90               6               0.59
2021/3/11 (Thursday) 5:59:25          74.86                 6.92               6               0.65
2021/3/11 (Thursday) 5:59:26          74.86                 6.94               10               0.57
2021/3/11 (Thursday) 5:59:27          74.86                 6.90               4               0.64
2021/3/11 (Thursday) 5:59:28          74.86                 6.90               10               0.59
2021/3/11 (Thursday) 5:59:29          74.86                 6.90               2               0.65
2021/3/11 (Thursday) 5:59:30          74.86                 6.92               10               0.59
2021/3/11 (Thursday) 5:59:31          74.75                 6.90               6               0.59
2021/3/11 (Thursday) 5:59:32          74.86                 6.90               10               0.64
2021/3/11 (Thursday) 5:59:33          74.75                 6.94               10               0.57
2021/3/11 (Thursday) 5:59:34          74.75                 6.92               6               0.64
2021/3/11 (Thursday) 5:59:35          74.86                 6.92               10               0.59
2021/3/11 (Thursday) 5:59:36          74.75                 6.92               4               0.65
2021/3/11 (Thursday) 5:59:37          74.86                 6.92               12               0.59
2021/3/11 (Thursday) 5:59:38          74.86                 6.92               4               0.58
2021/3/11 (Thursday) 5:59:39          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 5:59:40          74.86                 6.92               6               0.57
2021/3/11 (Thursday) 5:59:41          74.86                 6.92               2               0.64
2021/3/11 (Thursday) 5:59:42          74.86                 6.90               10               0.57
2021/3/11 (Thursday) 5:59:43          74.86                 6.92               4               0.64
2021/3/11 (Thursday) 5:59:44          74.86                 6.90               8               0.57
2021/3/11 (Thursday) 5:59:45          74.75                 6.94               4               0.65
2021/3/11 (Thursday) 5:59:46          74.86                 6.90               10               0.66
2021/3/11 (Thursday) 5:59:47          74.75                 6.92               6               0.59
2021/3/11 (Thursday) 5:59:48          74.86                 6.90               6               0.65
2021/3/11 (Thursday) 5:59:49          74.75                 6.92               12               0.58
2021/3/11 (Thursday) 5:59:50          74.86                 6.92               4               0.64
2021/3/11 (Thursday) 5:59:51          74.86                 6.89               6               0.56
2021/3/11 (Thursday) 5:59:52          74.86                 6.90               6               0.64
2021/3/11 (Thursday) 5:59:53          74.86                 6.92               12               0.58
2021/3/11 (Thursday) 5:59:54          74.75                 6.92               2               0.59
2021/3/11 (Thursday) 5:59:55          74.75                 6.90               12               0.65
2021/3/11 (Thursday) 5:59:56          74.86                 6.94               12               0.58
2021/3/11 (Thursday) 5:59:57          74.86                 6.90               2               0.64
2021/3/11 (Thursday) 5:59:58          74.86                 6.90               12               0.57
2021/3/11 (Thursday) 5:59:59          74.86                 6.90               6               0.63
2021/3/11 (Thursday) 6:0:0          74.86                 6.89               8               0.57
2021/3/11 (Thursday) 6:0:1          74.75                 6.92               6               0.58
2021/3/11 (Thursday) 6:0:2          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 6:0:3          74.86                 6.92               6               0.59
2021/3/11 (Thursday) 6:0:4          74.86                 6.89               6               0.65
2021/3/11 (Thursday) 6:0:5          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 6:0:6          74.86                 6.90               4               0.64
2021/3/11 (Thursday) 6:0:7          74.86                 6.92               10               0.56
2021/3/11 (Thursday) 6:0:8          74.86                 6.92               4               0.63
2021/3/11 (Thursday) 6:0:9          74.86                 6.92               10               0.66
2021/3/11 (Thursday) 6:0:10          74.86                 6.90               4               0.59
2021/3/11 (Thursday) 6:0:11          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 6:0:12          74.86                 6.90               8               0.56
2021/3/11 (Thursday) 6:0:13          74.86                 6.89               4               0.64
2021/3/11 (Thursday) 6:0:14          74.86                 6.90               12               0.55
2021/3/11 (Thursday) 6:0:15          74.86                 6.90               4               0.64
2021/3/11 (Thursday) 6:0:16          74.86                 6.89               10               0.57
2021/3/11 (Thursday) 6:0:17          74.86                 6.92               6               0.58
2021/3/11 (Thursday) 6:0:18          74.86                 6.89               10               0.64
2021/3/11 (Thursday) 6:0:19          74.75                 6.90               4               0.57
2021/3/11 (Thursday) 6:0:20          74.75                 6.89               4               0.65
2021/3/11 (Thursday) 6:0:21          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 6:0:22          74.75                 6.92               6               0.64
2021/3/11 (Thursday) 6:0:23          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 6:0:24          74.86                 6.94               4               0.66
2021/3/11 (Thursday) 6:0:25          74.86                 6.90               12               0.65
2021/3/11 (Thursday) 6:0:26          74.86                 6.94               4               0.58
2021/3/11 (Thursday) 6:0:27          74.86                 6.89               6               0.64
2021/3/11 (Thursday) 6:0:28          74.86                 6.90               12               0.57
2021/3/11 (Thursday) 6:0:29          74.75                 6.89               6               0.63
2021/3/11 (Thursday) 6:0:30          74.86                 6.90               10               0.55
2021/3/11 (Thursday) 6:0:31          74.86                 6.92               4               0.65
2021/3/11 (Thursday) 6:0:32          74.86                 6.90               10               0.59
2021/3/11 (Thursday) 6:0:33          74.86                 6.92               6               0.58
2021/3/11 (Thursday) 6:0:34          74.86                 6.90               10               0.64
2021/3/11 (Thursday) 6:0:35          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 6:0:36          74.86                 6.90               2               0.64
2021/3/11 (Thursday) 6:0:37          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 6:0:38          74.86                 6.92               8               0.63
2021/3/11 (Thursday) 6:0:39          74.86                 6.92               10               0.59
2021/3/11 (Thursday) 6:0:40          74.86                 6.94               4               0.59
2021/3/11 (Thursday) 6:0:41          74.86                 6.92               10               0.66
2021/3/11 (Thursday) 6:0:42          74.86                 6.90               4               0.59
2021/3/11 (Thursday) 6:0:43          74.86                 6.90               6               0.65
2021/3/11 (Thursday) 6:0:44          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 6:0:45          74.86                 6.90               4               0.63
2021/3/11 (Thursday) 6:0:46          74.86                 6.90               10               0.57
2021/3/11 (Thursday) 6:0:47          74.86                 6.92               4               0.64
2021/3/11 (Thursday) 6:0:48          74.86                 6.89               6               0.64
2021/3/11 (Thursday) 6:0:49          74.86                 6.92               8               0.59
2021/3/11 (Thursday) 6:0:50          74.86                 6.89               12               0.65
2021/3/11 (Thursday) 6:0:51          74.86                 6.90               12               0.57
2021/3/11 (Thursday) 6:0:52          74.86                 6.92               6               0.65
2021/3/11 (Thursday) 6:0:53          74.86                 6.90               10               0.56
2021/3/11 (Thursday) 6:0:54          74.86                 6.92               6               0.63
2021/3/11 (Thursday) 6:0:55          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 6:0:56          74.86                 6.92               4               0.56
2021/3/11 (Thursday) 6:0:57          74.97                 6.92               10               0.65
2021/3/11 (Thursday) 6:0:58          74.86                 6.92               12               0.59
2021/3/11 (Thursday) 6:0:59          74.86                 6.90               6               0.65
2021/3/11 (Thursday) 6:1:0          74.86                 6.94               8               0.61
2021/3/11 (Thursday) 6:1:1          74.86                 6.92               6               0.64
2021/3/11 (Thursday) 6:1:2          74.86                 6.89               10               0.57
2021/3/11 (Thursday) 6:1:3          74.86                 6.92               4               0.63
2021/3/11 (Thursday) 6:1:4          74.86                 6.90               10               0.63
2021/3/11 (Thursday) 6:1:5          74.75                 6.94               6               0.57
2021/3/11 (Thursday) 6:1:6          74.86                 6.90               12               0.66
2021/3/11 (Thursday) 6:1:7          74.86                 6.92               8               0.59
2021/3/11 (Thursday) 6:1:8          74.86                 6.90               4               0.65
2021/3/11 (Thursday) 6:1:9          74.86                 6.90               10               0.58
2021/3/11 (Thursday) 6:1:10          74.86                 6.92               4               0.63
2021/3/11 (Thursday) 6:1:11          74.86                 6.90               10               0.64
2021/3/11 (Thursday) 6:1:12          74.86                 6.92               6               0.57
2021/3/11 (Thursday) 6:1:13          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 6:1:14          74.86                 6.92               12               0.59
2021/3/11 (Thursday) 6:1:15          74.75                 6.90               4               0.65
2021/3/11 (Thursday) 6:1:16          74.86                 6.92               8               0.58
2021/3/11 (Thursday) 6:1:17          74.86                 6.90               2               0.63
2021/3/11 (Thursday) 6:1:18          74.86                 6.89               10               0.57
2021/3/11 (Thursday) 6:1:19          74.86                 6.90               6               0.57
2021/3/11 (Thursday) 6:1:20          74.86                 6.90               10               0.65
2021/3/11 (Thursday) 6:1:21          74.86                 6.92               6               0.59
2021/3/11 (Thursday) 6:1:22          74.86                 6.90               4               0.65
2021/3/11 (Thursday) 6:1:23          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 6:1:24          74.86                 6.94               6               0.63
2021/3/11 (Thursday) 6:1:25          74.97                 6.89               12               0.56
2021/3/11 (Thursday) 6:1:26          74.86                 6.94               6               0.64
2021/3/11 (Thursday) 6:1:27          74.86                 6.90               12               0.65
2021/3/11 (Thursday) 6:1:28          74.86                 6.92               6               0.57
2021/3/11 (Thursday) 6:1:29          74.86                 6.90               10               0.66
2021/3/11 (Thursday) 6:1:30          74.86                 6.92               8               0.57
2021/3/11 (Thursday) 6:1:31          74.86                 6.90               8               0.63
2021/3/11 (Thursday) 6:1:32          74.86                 6.90               10               0.57
2021/3/11 (Thursday) 6:1:33          74.75                 6.92               4               0.65
2021/3/11 (Thursday) 6:1:34          74.86                 6.90               8               0.57
2021/3/11 (Thursday) 6:1:35          74.86                 6.90               6               0.59
2021/3/11 (Thursday) 6:1:36          74.86                 6.89               10               0.66
2021/3/11 (Thursday) 6:1:37          74.86                 6.94               10               0.57
2021/3/11 (Thursday) 6:1:38          74.86                 6.89               6               0.64
2021/3/11 (Thursday) 6:1:39          74.86                 6.92               12               0.56
2021/3/11 (Thursday) 6:1:40          74.86                 6.92               6               0.63
2021/3/11 (Thursday) 6:1:41          74.86                 6.90               10               0.58
2021/3/11 (Thursday) 6:1:42          74.86                 6.94               6               0.65
2021/3/11 (Thursday) 6:1:43          74.86                 6.90               8               0.65
2021/3/11 (Thursday) 6:1:44          74.86                 6.92               4               0.59
2021/3/11 (Thursday) 6:1:45          74.75                 6.89               4               0.63
2021/3/11 (Thursday) 6:1:46          74.86                 6.92               10               0.56
2021/3/11 (Thursday) 6:1:47          74.75                 6.90               6               0.64
2021/3/11 (Thursday) 6:1:48          74.86                 6.87               10               0.56
2021/3/11 (Thursday) 6:1:49          74.75                 6.92               8               0.65
2021/3/11 (Thursday) 6:1:50          74.86                 6.90               8               0.59
