=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:17:59 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:21:28          74.52                 6.97               6               0.70
2021/3/11 (Thursday) 5:21:29          74.52                 6.97               10               0.66
2021/3/11 (Thursday) 5:21:30          74.52                 6.97               4               0.71
2021/3/11 (Thursday) 5:21:31          74.52                 6.97               12               0.66
2021/3/11 (Thursday) 5:21:32          74.52                 6.99               6               0.66
2021/3/11 (Thursday) 5:21:33          74.64                 6.97               8               0.72
2021/3/11 (Thursday) 5:21:34          74.52                 6.99               8               0.68
2021/3/11 (Thursday) 5:21:35          74.52                 6.99               6               0.72
2021/3/11 (Thursday) 5:21:36          74.52                 6.96               12               0.67
2021/3/11 (Thursday) 5:21:37          74.52                 6.96               2               0.72
2021/3/11 (Thursday) 5:21:38          74.52                 6.97               8               0.66
2021/3/11 (Thursday) 5:21:39          74.52                 6.96               6               0.71
2021/3/11 (Thursday) 5:21:40          74.52                 6.97               10               0.70
2021/3/11 (Thursday) 5:21:41          74.52                 6.97               6               0.66
2021/3/11 (Thursday) 5:21:42          74.52                 6.96               8               0.70
2021/3/11 (Thursday) 5:21:43          74.52                 6.96               10               0.67
2021/3/11 (Thursday) 5:21:44          74.52                 6.97               6               0.72
2021/3/11 (Thursday) 5:21:45          74.52                 6.96               8               0.66
2021/3/11 (Thursday) 5:21:46          74.52                 6.96               6               0.73
2021/3/11 (Thursday) 5:21:47          74.52                 6.97               10               0.67
2021/3/11 (Thursday) 5:21:48          74.64                 6.99               4               0.67
2021/3/11 (Thursday) 5:21:49          74.64                 6.96               8               0.71
2021/3/11 (Thursday) 5:21:50          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:21:51          74.52                 6.97               4               0.71
2021/3/11 (Thursday) 5:21:52          74.64                 6.96               6               0.66
2021/3/11 (Thursday) 5:21:53          74.64                 6.99               2               0.71
2021/3/11 (Thursday) 5:21:54          74.52                 6.99               10               0.68
2021/3/11 (Thursday) 5:21:55          74.52                 6.99               6               0.72
2021/3/11 (Thursday) 5:21:56          74.64                 6.99               10               0.71
2021/3/11 (Thursday) 5:21:57          74.64                 6.99               2               0.67
2021/3/11 (Thursday) 5:21:58          74.52                 6.97               8               0.72
2021/3/11 (Thursday) 5:21:59          74.64                 6.99               10               0.68
2021/3/11 (Thursday) 5:22:0          74.64                 6.94               8               0.72
2021/3/11 (Thursday) 5:22:1          74.64                 6.96               10               0.66
2021/3/11 (Thursday) 5:22:2          74.64                 6.96               4               0.71
2021/3/11 (Thursday) 5:22:3          74.64                 6.97               8               0.66
2021/3/11 (Thursday) 5:22:4          74.52                 6.96               6               0.66
2021/3/11 (Thursday) 5:22:5          74.64                 6.94               12               0.70
2021/3/11 (Thursday) 5:22:6          74.64                 6.97               10               0.68
2021/3/11 (Thursday) 5:22:7          74.52                 6.97               6               0.71
2021/3/11 (Thursday) 5:22:8          74.64                 6.97               15               0.67
2021/3/11 (Thursday) 5:22:9          74.52                 6.97               6               0.72
2021/3/11 (Thursday) 5:22:10          74.64                 6.97               8               0.67
2021/3/11 (Thursday) 5:22:11          74.52                 6.97               4               0.68
2021/3/11 (Thursday) 5:22:12          74.64                 6.97               10               0.72
2021/3/11 (Thursday) 5:22:13          74.52                 6.97               4               0.66
2021/3/11 (Thursday) 5:22:14          74.52                 6.99               4               0.71
2021/3/11 (Thursday) 5:22:15          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:22:16          74.64                 6.97               4               0.70
2021/3/11 (Thursday) 5:22:17          74.64                 6.97               12               0.66
2021/3/11 (Thursday) 5:22:18          74.52                 6.99               4               0.71
2021/3/11 (Thursday) 5:22:19          74.52                 6.99               10               0.72
2021/3/11 (Thursday) 5:22:20          74.52                 6.97               2               0.67
2021/3/11 (Thursday) 5:22:21          74.52                 6.99               8               0.72
2021/3/11 (Thursday) 5:22:22          74.52                 6.97               8               0.67
2021/3/11 (Thursday) 5:22:23          74.52                 6.99               6               0.72
2021/3/11 (Thursday) 5:22:24          74.52                 6.97               8               0.68
2021/3/11 (Thursday) 5:22:25          74.41                 6.96               6               0.70
2021/3/11 (Thursday) 5:22:26          74.52                 6.97               10               0.66
2021/3/11 (Thursday) 5:22:27          74.52                 6.97               4               0.66
2021/3/11 (Thursday) 5:22:28          74.52                 6.97               12               0.70
2021/3/11 (Thursday) 5:22:29          74.41                 6.96               8               0.66
2021/3/11 (Thursday) 5:22:30          74.41                 6.96               6               0.70
2021/3/11 (Thursday) 5:22:31          74.52                 6.96               10               0.66
2021/3/11 (Thursday) 5:22:32          74.52                 6.96               4               0.72
2021/3/11 (Thursday) 5:22:33          74.52                 6.94               10               0.66
2021/3/11 (Thursday) 5:22:34          74.52                 6.97               4               0.68
2021/3/11 (Thursday) 5:22:35          74.52                 6.96               8               0.72
2021/3/11 (Thursday) 5:22:36          74.52                 6.96               6               0.68
2021/3/11 (Thursday) 5:22:37          74.52                 6.94               6               0.72
2021/3/11 (Thursday) 5:22:38          74.64                 6.97               12               0.68
2021/3/11 (Thursday) 5:22:39          74.52                 6.96               4               0.72
2021/3/11 (Thursday) 5:22:40          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:22:41          74.52                 6.97               8               0.71
2021/3/11 (Thursday) 5:22:42          74.64                 6.99               10               0.70
2021/3/11 (Thursday) 5:22:43          74.52                 6.97               6               0.65
2021/3/11 (Thursday) 5:22:44          74.52                 6.97               8               0.70
2021/3/11 (Thursday) 5:22:45          74.52                 6.97               10               0.67
2021/3/11 (Thursday) 5:22:46          74.52                 6.97               4               0.70
2021/3/11 (Thursday) 5:22:47          74.52                 6.99               10               0.66
2021/3/11 (Thursday) 5:22:48          74.64                 6.97               8               0.72
2021/3/11 (Thursday) 5:22:49          74.64                 7.01               8               0.66
2021/3/11 (Thursday) 5:22:50          74.64                 6.96               8               0.67
2021/3/11 (Thursday) 5:22:51          74.52                 6.99               12               0.72
2021/3/11 (Thursday) 5:22:52          74.52                 6.96               4               0.68
2021/3/11 (Thursday) 5:22:53          74.41                 6.96               6               0.72
2021/3/11 (Thursday) 5:22:54          74.52                 6.97               8               0.67
2021/3/11 (Thursday) 5:22:55          74.52                 6.97               4               0.72
2021/3/11 (Thursday) 5:22:56          74.52                 6.97               10               0.66
2021/3/11 (Thursday) 5:22:57          74.41                 6.96               4               0.70
2021/3/11 (Thursday) 5:22:58          74.52                 6.97               8               0.70
2021/3/11 (Thursday) 5:22:59          74.41                 6.97               4               0.66
2021/3/11 (Thursday) 5:23:0          74.52                 6.96               8               0.70
2021/3/11 (Thursday) 5:23:1          74.52                 6.97               10               0.66
2021/3/11 (Thursday) 5:23:2          74.52                 6.97               6               0.72
2021/3/11 (Thursday) 5:23:3          74.52                 6.99               12               0.68
2021/3/11 (Thursday) 5:23:4          74.52                 6.97               6               0.72
2021/3/11 (Thursday) 5:23:5          74.52                 6.97               8               0.68
2021/3/11 (Thursday) 5:23:6          74.52                 6.97               6               0.68
2021/3/11 (Thursday) 5:23:7          74.52                 6.97               10               0.72
2021/3/11 (Thursday) 5:23:8          74.52                 6.97               8               0.66
2021/3/11 (Thursday) 5:23:9          74.52                 6.97               6               0.70
2021/3/11 (Thursday) 5:23:10          74.52                 6.99               10               0.66
2021/3/11 (Thursday) 5:23:11          74.52                 6.97               6               0.70
2021/3/11 (Thursday) 5:23:12          74.52                 6.99               10               0.66
2021/3/11 (Thursday) 5:23:13          74.52                 6.96               2               0.66
2021/3/11 (Thursday) 5:23:14          74.64                 6.97               10               0.72
2021/3/11 (Thursday) 5:23:15          74.52                 6.97               4               0.68
2021/3/11 (Thursday) 5:23:16          74.52                 6.99               4               0.72
2021/3/11 (Thursday) 5:23:17          74.52                 6.96               8               0.70
2021/3/11 (Thursday) 5:23:18          74.52                 6.97               6               0.73
2021/3/11 (Thursday) 5:23:19          74.52                 6.96               12               0.66
2021/3/11 (Thursday) 5:23:20          74.64                 6.97               4               0.71
2021/3/11 (Thursday) 5:23:21          74.52                 6.99               10               0.70
2021/3/11 (Thursday) 5:23:22          74.64                 6.94               6               0.66
2021/3/11 (Thursday) 5:23:23          74.64                 6.96               8               0.70
2021/3/11 (Thursday) 5:23:24          74.52                 6.96               8               0.66
2021/3/11 (Thursday) 5:23:25          74.41                 6.97               8               0.71
2021/3/11 (Thursday) 5:23:26          74.52                 6.96               8               0.68
2021/3/11 (Thursday) 5:23:27          74.52                 6.97               6               0.72
2021/3/11 (Thursday) 5:23:28          74.52                 6.97               8               0.68
2021/3/11 (Thursday) 5:23:29          74.52                 6.97               8               0.67
2021/3/11 (Thursday) 5:23:30          74.52                 6.97               10               0.71
2021/3/11 (Thursday) 5:23:31          74.64                 6.97               12               0.66
2021/3/11 (Thursday) 5:23:32          74.52                 6.97               8               0.70
2021/3/11 (Thursday) 5:23:33          74.64                 6.99               8               0.66
2021/3/11 (Thursday) 5:23:34          74.52                 6.96               4               0.70
2021/3/11 (Thursday) 5:23:35          74.64                 6.99               10               0.68
2021/3/11 (Thursday) 5:23:36          74.52                 6.97               4               0.73
2021/3/11 (Thursday) 5:23:37          74.52                 6.97               10               0.71
2021/3/11 (Thursday) 5:23:38          74.52                 6.96               4               0.65
2021/3/11 (Thursday) 5:23:39          74.52                 6.94               8               0.70
2021/3/11 (Thursday) 5:23:40          74.52                 6.96               10               0.66
2021/3/11 (Thursday) 5:23:41          74.52                 6.97               6               0.70
2021/3/11 (Thursday) 5:23:42          74.52                 6.96               8               0.67
2021/3/11 (Thursday) 5:23:43          74.52                 6.96               4               0.72
2021/3/11 (Thursday) 5:23:44          74.52                 6.99               8               0.71
2021/3/11 (Thursday) 5:23:45          74.41                 6.99               4               0.66
2021/3/11 (Thursday) 5:23:46          74.52                 6.99               10               0.70
2021/3/11 (Thursday) 5:23:47          74.52                 6.99               12               0.65
2021/3/11 (Thursday) 5:23:48          74.52                 6.97               4               0.71
2021/3/11 (Thursday) 5:23:49          74.52                 6.97               8               0.68
2021/3/11 (Thursday) 5:23:50          74.41                 6.96               8               0.72
2021/3/11 (Thursday) 5:23:51          74.52                 6.97               10               0.67
2021/3/11 (Thursday) 5:23:52          74.52                 6.97               4               0.65
2021/3/11 (Thursday) 5:23:53          74.52                 6.97               12               0.70
2021/3/11 (Thursday) 5:23:54          74.52                 6.97               6               0.67
2021/3/11 (Thursday) 5:23:55          74.52                 6.96               4               0.71
2021/3/11 (Thursday) 5:23:56          74.64                 6.96               8               0.67
2021/3/11 (Thursday) 5:23:57          74.52                 6.96               4               0.73
2021/3/11 (Thursday) 5:23:58          74.52                 6.96               10               0.67
2021/3/11 (Thursday) 5:23:59          74.52                 6.96               6               0.71
2021/3/11 (Thursday) 5:24:0          74.52                 6.99               10               0.70
